skremme	baldit	beltedh
skyte	báhčit	baskedh
skyte	báhčit	vuetjedh
steike	báistit	bissedh
stenge	dahppat	dahpedh
skilles	earránit	juakadidh
forlate	guođđilit	laehpedh
lede	jođihit	mietiedidh
lese	lohkat	jiehtedh
hoppe	njuiket	laegkiestidh
bli_våt	njuoskat	lovvedh
få	oažžut	åadtjodh
skramle	skállat	plåavedh
tenke	smiehtadit	ussjedalledh
tenke	smiehttat	funhterdidh
glefse	snelket	håhtajidh
sikle	soalssidit	sihkieldidh
skave	sohpat	skööpedh
bøye	sojahit	biesmedh
dirre	sparaidit	skïelpedh
plyndre	speadjat	reetsedh
spille	speallat	spealadidh
stivne	stirdut	geahtjodh
støye	stoahkat	klæhtoehtidh
støye	stoahkat	rajjadidh
plaske	stuhčat	tjoskehtidh
forstørre	stuoridit	stueriemdidh
stave	stávet	baakoedidh
smelte	suddat	leamkedh
smelte	suddat	sjalkedh
verne	suodjalit	vaarjelidh
vakle	suoibut	gåvnjerdidh
vakle	suoibut	stompeldidh
ryke	suovastit	berkiestidh
sende	sáddet	seedtedh
samtale	ságastit	gaskestalledh
skysse	sáhtašit	skovhtestidh
kunne	sáhttit	buektiehtidh
preke	sárdnut	saarnodh
tale	sárdnut	dygkedadtedh
streke	sárgut	guvviedidh
streke	sárgut	naajedh
testamentere	testamenteret	tjaeliedehtedh
skade	vahágahttit	irhkedh
overse	vajálduhttit	soelkedidh
blø	vardit	bertedh
tøyes	vatnat	sojjedh
stamme	vavdat	dulhtjestidh
hate	vašuhit	aassjoestidh
orke	veadjit	aabparidh
diskriminere	vealahit	nulledh
ligge	veallát	gællasjidh
skumre	veiggodit	tjearadehtedh
løpe	viehkat	goetsedh
hente	viežžat	veedtjedh
prøve	viggat	baaverdidh
resonnere	vihkkedallat	tsebpeldidh
kvitre	vizardit	njovhkedidh
kjøre	vuodjit	eadtjoestidh
kjøre	vuodjit	vuejedh
synke	vuodjut	tsåakodh
hamle	vuohppát	earadidh
smøre	vuoidat	badtjadidh
puste	vuoigŋat	voejngehtidh
vinne	vuoitit	vitnedh
hvile	vuoiŋŋastit	lïegkedidh
svømme	vuojadit	laavkodh
drive	vuojehit	vuejiehtidh
spy	vuoksit	goesmeridh
senke	vuolidit	badtehtidh
annektere	vuollástit	ritnedh
vente	vuordit	veanhtadidh
vente	vuordit	vuertedh
sverge	vuordnut	våarnodh
plages	vuorjašuvvat	vaajvedh
protestere	vuostálastit	gïrredh
begrunne	vuođuštit	tjilkedh
koke	vuoššat	doeltedh
spasere	váccašit	vaadtsehtjidh
klage	váidit	gïelkerdidh
klage	váidit	hojjedh
virke	váikkuhit	dïjpedh
savne	váillahit	ohtsedh
ta	váldit	bïksedh
vandre	vánddardit	baalkerdidh
speide	várdát	gutnedh
verke	várkat	saejriedidh
advare	várret	bïedtedh
erfare	vásihit	damtedh
erfare	vásihit	dåårjehtalledh
svare	vástidit	svååredh
mistenke	vávjit	beavnedh
herme	áddestallat	heeredh
forstå	áddet	aerviedidh
gløde	áhcagastit	jïjledh
lengte	áibbašit	ohtsedidh
oppdage	áicat	sierngedh
skulle	áigut	edtjedh
skulle	áigut	sïjhtedh
true	áitit	aejhtedh
somle	ájahaddat	jievkehtidh
oppholde	ájahallat	fïjnehtidh
tigge	ánuhit	aanodh
arve	árbet	eerpedh
ymte	árvalit	nåalodh
bedømme	árvvoštallat	digkiedidh
bedømme	árvvoštallat	laejhtedh
respektere	árvvusatnit	seahkaridh
ordne	ásahit	öörnedidh
angle	ávnnaldit	håagkodh
feire	ávvudit	heevehtidh
oppfordre	ávžžuhit	haestedh
čalmmustit	čalmmustit	gåhtsajehtedh
slå	časkit	laekedh
binde	čatnat	gårredidh
stramme	čavget	sneerredh
brøle	čeargut	laakedh
brøle	čeargut	meeredh
gli	čeassat	juhtedh
gjemme	čiegadit	tjïekedh
spenne	čiekčat	tjïektjedh
klarne	čielgat	skearkadehtedh
renne	čierastit	gïerestidh
gråte	čierrut	gïknjeldovvedh
forklare	čilget	boejhkelidh
knele	čippostit	boelvestidh
pynte	čiŋahit	rïesedh
plukke	čoaggit	bihkedh
samles	čoahkkanit	tjåanghkenidh
kjølne	čoaskut	doesnestidh
samle	čohkket	seeptjedh
gjøre_reint	čorget	sjeakodh
klinge	čuodjat	bååjhtedh
klinge	čuodjat	rïgkesjidh
påvirke	čuohcit	gaajesjidh
skjære	čuohppat	tjoehpedh
ringe	čuojahit	klåenkiehtidh
hagle	čuorpmastit	tjuengieldidh
rope	čuorvut	goejhkesjidh
galoppere	čuoskut	guepmierdidh
lyse	čuovgat	goekedh
lyxe	čuovgat	bueledh
følge	čuovvut	dåeriedidh
hevde	čuoččuhit	bagkesidh
lysne	čuvggodit	ååbredidh
mørkne	čáhpodit	tjearadehtedh
vise	čájehit	vuesiehtidh
klype	čárvet	tsiptsedh
vokse	šaddat	reakadidh
vokse	šaddat	sjïdtedh
glitre	šealgut	giltedh
glinse	šealgát	giltedh
forhandle	šiehtadallat	raarahtalledh
sludde	šlahttit	sleehtedh
blinke	šleađgut	pleajhkasjidh
blinke	šleađgut	robkehtalledh
slipe	šliipet	slijhpedh
slenge	šlivget	hajkedidh
sladre	šláttardit	feaskadidh
sprake	šnjirrat	röösedh
skravle	šoambbistit	baaveldidh
surre	šurrat	nijjedh
suse	šuvvat	sjovvedh
syde	šuđđat	sïrredh
beklage	šállošit	gaatelassjedh
